OID_;ID_CAMARA;LUGAR_INFR;AMBITO;TIPOVIA;VIA;NUMERO_PK;UTM_X;UTM_Y;LATITUD;LONGITUD
1;1;C Pedro Rico 213;Interior M-30;Calle;Pedro Rico;213;441555,750000000000000;4481256,589999999850988;40,479942000000001;-3,689531000000000
2;2;Po Castellana 259 C1;Interior M-30;Paseo;Castellana;259;441861,020000000018626;4481195,269999999552965;40,479410999999999;-3,685924000000000
3;3;Po Castellana 259 C2;Interior M-30;Paseo;Castellana;259;441861,020000000018626;4481195,269999999552965;40,479410999999999;-3,685924000000000
4;4;Po Castellana 259 VS;Interior M-30;Paseo;Castellana;259;441861,020000000018626;4481195,269999999552965;40,479410999999999;-3,685924000000000
5;5;C Mauricio Legendre - Verjas;Interior M-30;Calle;Mauricio Legendre;0;442067,700000000011642;4481296,230000000447035;40,480334999999997;-3,683495000000000
6;6;Av Burgos - frente n38;Interior M-30;Avenida;Burgos;0;442723,260000000009313;4481206,709999999962747;40,479574000000000;-3,675753000000000
7;7;Salida M30 Tunel Pio XII;Interior M-30;Avenida;Pio XII;0;442869,020000000018626;4480479,389999999664724;40,473032000000003;-3,673968000000000
8;8;Av Burgos 8;Interior M-30;Avenida;Burgos;8;442718,169999999983702;4480485,980000000447035;40,473081000000001;-3,675748000000000
9;9;Av Pio XII 100;Interior M-30;Avenida;Pio XII;100;442678,440000000002328;4480467,860000000335276;40,472915000000000;-3,676215000000000
10;10;Av Pio XII - entrada tunel;Interior M-30;Avenida;Pio XII;0;442652,559999999997672;4480464,169999999925494;40,472880000000004;-3,676520000000000
11;11;Av Burgos 9;Interior M-30;Avenida;Burgos;9;442689,210000000020955;4480302,049999999813735;40,471421999999997;-3,676073000000000
12;12;Av Pio XII - frente n98;Interior M-30;Avenida;Pio XII;0;442743,369999999995343;4480400,549999999813735;40,472313000000000;-3,675443000000000
13;13;Av Pio XII 77;Interior M-30;Avenida;Pio XII;77;442902,479999999981374;4479983,679999999701977;40,468567999999998;-3,673666000000000
14;14;Cta Sagrado Corazón 2 C1;Interior M-30;Cuesta;Sagrado Corazón;2;443049,739999999990687;4479742,809999999590218;40,466408999999999;-3,671770000000000
15;15;Cta Sagrado Corazón 2 C2;Interior M-30;Cuesta;Sagrado Corazón;2;443049,739999999990687;4479742,809999999590218;40,466408999999999;-3,671770000000000
16;16;C Costa Rica 17 C1;Interior M-30;Calle;Costa Rica;17;443095,099999999976717;4478873,410000000149012;40,458579999999998;-3,671157000000000
17;17;C Costa Rica 17 C2;Interior M-30;Calle;Costa Rica;17;443095,099999999976717;4478873,410000000149012;40,458579999999998;-3,671157000000000
18;18;Av Alfonso XIII - frente n7;Interior M-30;Avenida;Alfonso XIII;0;443314,849999999976717;4478970,080000000074506;40,459465999999999;-3,668574000000000
19;19;C Federico Salmón 34;Interior M-30;Calle;Federico Salmón;34;443343,140000000013970;4478976,860000000335276;40,459529000000003;-3,668241000000000
20;20;Av Alfonso XIII 113;Interior M-30;Calle;Alfonso XIII;113;443366,469999999972060;4478889,320000000298023;40,458742000000001;-3,667958000000000
21;21;Av Ramón y Cajal 81 C1;Interior M-30;Avenida;Av Ramón y Cajal;81;443522,520000000018626;4478195,900000000372529;40,452506000000000;-3,666056000000000
22;22;Av Ramón y Cajal 81 C2;Interior M-30;Avenida;Av Ramón y Cajal;81;443522,520000000018626;4478195,900000000372529;40,452506000000000;-3,666056000000000
23;23;Po Cerezos - Av. Ramon Cajal;Interior M-30;Paseo;Cerezos;0;443593,169999999983702;4478220,120000000111759;40,452728999999998;-3,665225000000000
24;24;Av America VS - A2PK4.000 ENT;Interior M-30;Avenida;América;4;443599,119999999995343;4477164,299999999813735;40,443218000000002;-3,665061000000000
25;25;Av America - A2PK4.000 ENT C1;Interior M-30;Avenida;América;4;443605,729999999981374;4477152,259999999776483;40,443109999999997;-3,664982000000000
26;26;Av America - A2PK4.000 ENT C2;Interior M-30;Avenida;América;4;443605,729999999981374;4477152,259999999776483;40,443109999999997;-3,664982000000000
27;27;Av Brasilia 33;Interior M-30;Avenida;Brasilia;33;443913,710000000020955;4476907,070000000298023;40,440922000000000;-3,661329000000000
28;28;Av Brasilia - junto n31;Interior M-30;Avenida;Brasilia;31;443917,460000000020955;4476773,280000000260770;40,439717000000002;-3,661273000000000
29;29;Av Bonn - junto n23;Interior M-30;Avenida;Bonn;23;443917,130000000004657;4476649,400000000372529;40,438600999999998;-3,661266000000000
30;30;Av Brasilia 11;Interior M-30;Avenida;Brasilia;11;443921,940000000002328;4476601,179999999701977;40,438167000000000;-3,661205000000000
31;31;C Brescia - junto n19;Interior M-30;Calle;Brescia;19;443907,750000000000000;4476416,799999999813735;40,436504999999997;-3,661356000000000
32;32;C Roberto Domingo 3;Interior M-30;Calle;Roberto Domingo;3;443925,440000000002328;4476253,259999999776483;40,435032999999997;-3,661133000000000
33;33;C Alcala - Roberto Domingo C1;Interior M-30;Calle;Roberto Domingo;0;443859,219999999972060;4475848,480000000447035;40,431381999999999;-3,661878000000000
34;34;C Alcala - Roberto Domingo C2;Interior M-30;Calle;Roberto Domingo;0;443859,219999999972060;4475848,480000000447035;40,431381999999999;-3,661878000000000
35;35;C Alcala 239 - Roberto Domingo;Interior M-30;Calle;Roberto Domingo;239;443885,739999999990687;4475855,940000000409782;40,431451000000003;-3,661566000000000
36;36;C ODonnell 65 C1;Interior M-30;Calle;O´Donnell;65;443314,229999999981374;4474706,549999999813735;40,421058000000002;-3,668201000000000
37;37;C ODonnell 65 C2;Interior M-30;Calle;O´Donnell;65;443314,229999999981374;4474706,549999999813735;40,421058000000002;-3,668201000000000
38;38;C Alcalde Sainz de Baranda C1;Interior M-30;Calle;Alcalde Sainz de Baranda;0;443554,409999999974389;4474549,669999999925494;40,419660999999998;-3,665356000000000
39;39;C Alcalde Sainz de Baranda C2;Interior M-30;Calle;Alcalde Sainz de Baranda;0;443554,409999999974389;4474549,669999999925494;40,419660999999998;-3,665356000000000
40;40;C Estrella Polar 19 C1;Interior M-30;Calle;Estrella Polar;19;443647,479999999981374;4473601,419999999925494;40,411124999999998;-3,664175000000000
41;41;C Estrella Polar 19 C2;Interior M-30;Calle;Estrella Polar;19;443647,479999999981374;4473601,419999999925494;40,411124999999998;-3,664175000000000
42;42;C Sirio 64;Interior M-30;Calle;Sirio;64;443567,099999999976717;4473383,230000000447035;40,409154000000001;-3,665103000000000
43;43;C Pez Volador - frente n32;Interior M-30;Calle;Pez Volador;32;443804,640000000013970;4473931,830000000074506;40,414112000000003;-3,662352000000000
44;44;C Doctor Esquerdo 161 C1;Interior M-30;Calle;Doctor Esquerdo;161;443156,719999999972060;4473301,080000000074506;40,408386000000000;-3,669932000000000
45;45;C Doctor Esquerdo 161 C2;Interior M-30;Calle;Doctor Esquerdo;161;443156,719999999972060;4473301,080000000074506;40,408386000000000;-3,669932000000000
46;46;Av Mediterraneo 39;Interior M-30;Avenida;Mediterráneo;39;443080,330000000016298;4473130,820000000298023;40,406846999999999;-3,670817000000000
47;47;Av Mediterraneo 33 C1;Interior M-30;Avenida;Mediterráneo;33;442917,250000000000000;4473155,599999999627471;40,407058999999997;-3,672741000000000
48;48;Av Mediterraneo 33 C2;Interior M-30;Avenida;Mediterráneo;33;442917,250000000000000;4473155,599999999627471;40,407058999999997;-3,672741000000000
49;49;C Doctor Esquerdo 132 C1;Interior M-30;Calle;Doctor Esquerdo;132;443100,909999999974389;4473058,730000000447035;40,406199000000001;-3,670568000000000
50;50;C Doctor Esquerdo 132 C2;Interior M-30;Calle;Doctor Esquerdo;132;443100,909999999974389;4473058,730000000447035;40,406199000000001;-3,670568000000000
51;51;C Carlos y Guillermo Fdez. 5;Interior M-30;Calle;Carlos y Guillermo Fernández;5;443309,520000000018626;4472861,120000000111759;40,404432999999997;-3,668092000000000
52;52;C Luis Mitjans 43;Interior M-30;Calle;Luis Mitjan;43;443288,309999999997672;4472839,410000000149012;40,404235999999997;-3,668340000000000
53;53;Av Ciudad de Barcelona 115;Interior M-30;Avenida;Av Ciudad de Barcelona;115;443182,070000000006985;4472212,700000000186265;40,398583000000002;-3,669536000000000
54;54;C Gandía - Av De la Paz C1;Interior M-30;Calle;Gandía;0;443134,760000000009313;4472117,040000000037253;40,397717999999998;-3,670085000000000
55;55;C Gandía - Av De la Paz C2;Interior M-30;Calle;Gandía;0;443134,760000000009313;4472117,040000000037253;40,397717999999998;-3,670085000000000
56;56;C Triquet 8;Interior M-30;Calle;Triquet;8;443256,940000000002328;4472349,669999999925494;40,399822000000000;-3,668666000000000
57;57;C Retama 7;Interior M-30;Calle;Retama;7;442567,710000000020955;4471623,719999999739230;40,393234999999997;-3,676722000000000
58;58;C Méndez Álvaro 80 C1;Interior M-30;Calle;Méndez Álvaro;80;442519,520000000018626;4471614,990000000223517;40,393152999999998;-3,677289000000000
59;59;C Méndez Álvaro 80 C2;Interior M-30;Calle;Méndez Álvaro;80;442519,520000000018626;4471614,990000000223517;40,393152999999998;-3,677289000000000
60;60;C Titán - C Mendez Alvaro;Interior M-30;Calle;Titán;0;442513,030000000027940;4471554,759999999776483;40,392609999999998;-3,677360000000000
61;61;Av Planetario 45;Interior M-30;Avenida;Planetario;45;441706,659999999974389;4471208,209999999962747;40,389431999999999;-3,686829000000000
62;62;C Puerto Serrano 2;Interior M-30;Calle;Puerto Serrano;2;441557,150000000023283;4471085,919999999925494;40,385353000000002;-3,688549000000000
63;63;C Puerto de Bejar 2;Interior M-30;Calle;Puerto de Bejar;2;441489,869999999995343;4470858,559999999590218;40,386266999999997;-3,689351000000000
64;64;C Embajadores - Puerto Bejar;Interior M-30;Calle;Embajadores;0;441485,770000000018626;4470855,929999999701977;40,386243000000000;-3,689399000000000
65;65;C Embajadores 187;Interior M-30;Calle;Embajadores;187;441302,890000000013970;4471175,940000000409782;40,389113000000002;-3,691583000000000
66;66;C Embajadores 181;Interior M-30;Calle;Embajadores;181;441210,890000000013970;4471382,360000000335276;40,390965999999999;-3,692686000000000
67;67;C Maestro Arbós 33 C1;Interior M-30;Calle;Maestro Arbós;33;440980,330000000016298;4471054,700000000186265;40,388671000000002;-3,695226000000000
68;68;C Maestro Arbós 33 C2;Interior M-30;Calle;Maestro Arbós;33;440980,330000000016298;4471054,700000000186265;40,388671000000002;-3,695226000000000
69;69;Po Molino - frente n1 C1;Interior M-30;Paseo;Molino;0;441054,440000000002328;4471358,389999999664724;40,390739000000004;-3,694527000000000
70;70;Po Molino - frente n1 C2;Interior M-30;Paseo;Molino;0;441054,440000000002328;4471358,389999999664724;40,390739000000004;-3,694527000000000
71;71;C Manuel Aleixandre 2;Interior M-30;Calle;Manuel Aleixandre;2;441057,080000000016298;4471391,780000000260770;40,391039999999997;-3,694499000000000
72;72;Po Delicias 145 C1;Interior M-30;Paseo;Delicias;145;441022,049999999988358;4471459,549999999813735;40,391648000000004;-3,694918000000000
73;73;Po Delicias 145 C2;Interior M-30;Paseo;Delicias;145;441022,049999999988358;4471459,549999999813735;40,391648000000004;-3,694918000000000
74;74;Po Chopera 75;Interior M-30;Paseo;Chopera;75;440969,809999999997672;4471455,179999999701977;40,391604999999998;-3,695533000000000
75;75;Po Sta M de la Cabeza 85 C1;Interior M-30;Paseo;Santa María de la Cabeza;85;440404,789999999979045;4472117,360000000335276;40,397530000000003;-3,702252000000000
76;76;Po Sta M de la Cabeza 85 C2;Interior M-30;Paseo;Santa María de la Cabeza;85;440404,789999999979045;4472117,360000000335276;40,397530000000003;-3,702252000000000
77;77;Po Acacias 65;Interior M-30;Paseo;Acacias;65;439538,549999999988358;4472572,309999999590218;40,401566000000003;-3,712502000000000
78;78;C Toledo 171;Interior M-30;Calle;Toledo;171;439441,669999999983702;4472629,040000000037253;40,402070000000002;-3,713649000000000
79;79;Po Imperial 89;Interior M-30;Paseo;Imperial;89;439314,270000000018626;4472658,379999999888241;40,402324999999998;-3,715153000000000
80;80;Po Melancólicos - junto n32 C1;Interior M-30;Paseo;Melancólicos;32;439160,080000000016298;4472544,179999999701977;40,401285000000001;-3,716959000000000
81;81;Po Melancólicos - junto n32 C2;Interior M-30;Paseo;Melancólicos;32;439160,080000000016298;4472544,179999999701977;40,401285000000001;-3,716959000000000
82;82;Po Yeserías - junto Gta. Piramides;Interior M-30;Paseo;Yeserías;0;439415,770000000018626;4472459,080000000074506;40,400537000000000;-3,713938000000000
83;83;Pte San Isidro - Ermita Santo;Interior M-30;Puente;Pte San Isidro;0;438829,549999999988358;4472837,709999999962747;40,403519000000003;-3,724418000000000
84;84;Po Virgen Puerto - P. Segovia;Interior M-30;Paseo;Virgen del Puerto;0;438844,979999999981374;4473980,179999999701977;40,414197999999999;-3,720810000000000
85;85;C Segovia 73 C1;Interior M-30;Calle;Segovia;73;438854,539999999979045;4473945,459999999962747;40,413885999999998;-3,720694000000000
86;86;C Segovia 73 C2;Interior M-30;Calle;Segovia;73;438854,539999999979045;4473945,459999999962747;40,413885999999998;-3,720694000000000
87;87;C Manzanares 35;Interior M-30;Calle;Manzanares;35;438822,950000000011642;4473818,059999999590218;40,412736000000002;-3,721054000000000
88;88;A5 - Gta San Vicente C1;Interior M-30;Carretera;A5-Pta San Vicente;0;438882,340000000025611;4474504,490000000223517;40,418923999999997;-3,720420000000000
89;89;A5 - Gta San Vicente C2;Interior M-30;Carretera;A5-Pta San Vicente;0;438882,340000000025611;4474504,490000000223517;40,418923999999997;-3,720420000000000
90;90;Cta S Vicente - frente n8 C1;Interior M-30;Calle;San Vicente;8;439451,260000000009313;4474773,280000000260770;40,421387000000003;-3,713740000000000
91;91;Cta S Vicente - frente n8 C2;Interior M-30;Calle;San Vicente;8;439451,260000000009313;4474773,280000000260770;40,421387000000003;-3,713740000000000
92;92;C San Pol de Mar 2;Interior M-30;Calle;San Pol de Mar;2;438327,340000000025611;4475117,809999999590218;40,424408000000000;-3,727021000000000
93;93;Av Valladolid 83;Interior M-30;Avenida;Valladolid;83;437716,119999999995343;4476171,650000000372529;40,433855999999999;-3,734329000000000
94;94;Av Séneca - frente n14;Interior M-30;Avenida;Séneca;14;437913,650000000023283;4476259,940000000409782;40,434666000000000;-3,732009000000000
95;95;Entrada Po. Senda del Rey;Interior M-30;Paseo;Senda del Rey;0;437758,080000000016298;4476239,570000000298023;40,434471000000002;-3,733841000000000
96;96;Entrada Po. Ruperto Chapí;Interior M-30;Paseo;Ruperto Chapí;0;437942,200000000011642;4476164,450000000186265;40,433992000000003;-3,732576000000000
97;97;A6PK5.300D ENT C1;Interior M-30;Carretera;A6;;437942,200000000011642;4476164,459999999962747;40,446973999999997;-3,734772000000000
98;98;A6PK5.300D ENT C2;Interior M-30;Carretera;A6;;437942,200000000011642;4476164,459999999962747;40,446973999999997;-3,734772000000000
99;99;Ctra Dehesa de la Villa sn C1;Interior M-30;Carretera;Dehesa de la villa;0;438066,710000000020955;4478644,440000000409782;40,456158000000002;-3,730437000000000
100;100;Ctra Dehesa de la Villa sn C2;Interior M-30;Carretera;Dehesa de la villa;0;438066,710000000020955;4478644,440000000409782;40,456158000000002;-3,730437000000000
101;101;C Dr Ramón Castroviejo 97;Interior M-30;Calle;Doctor Ramón Castroviejo;97;437718,479999999981374;4480482,299999999813735;40,472687999999998;-3,734724000000000
102;102;C Dr Juan José López Ibor 31;Interior M-30;Calle;Juan José López Ibor;31;438248,299999999988358;4480437,940000000409782;40,472327999999997;-3,728470000000000
103;103;C Valle de Mena 365;Interior M-30;Calle;Valle de Mena;365;438282,700000000011642;4480456,530000000260770;40,472498000000002;-3,728066000000000
104;104;C Dr Ramón Castroviejo 77;Interior M-30;Calle;Doctor Ramón Castroviejo;77;438295,880000000004657;4480481,179999999701977;40,472721000000000;-3,727913000000000
105;105;C Cesar Manrique 11;Interior M-30;Calle;Cesar Manrique;11;438875,039999999979045;4480696,889999999664724;40,474707000000002;-3,721102000000000
106;106;C Monforte de Lemos 193;Interior M-30;Calle;Monforte de Lemos;193;438977,979999999981374;4480845,910000000149012;40,476056999999997;-3,719902000000000
107;107;Camino de Ganapanes sn;Interior M-30;Camino;Ganapanes;0;439288,520000000018626;4481004,900000000372529;40,477511999999997;-3,716254000000000
108;108;C Dr Ramon Castroviejo 25;Interior M-30;Calle;Doctor Ramón Castroviejo;25;439340,359999999986030;4481167,099999999627471;40,478977000000000;-3,715658000000000
109;109;Av Betanzos 69;Interior M-30;Avenida;Betanzos;69;439581,630000000004657;4481223,000000000000000;40,479498000000000;-3,712817000000000
110;110;C Ginzo de Limia 43;Interior M-30;Calle;Ginzo de Lima;43;440249,409999999974389;4481392,240000000223517;40,481071000000000;-3,704955000000000
111;111;C Finisterre 31;Interior M-30;Calle;Finisterre;31;440410,280000000027940;4481326,459999999962747;40,480490000000003;-3,703051000000000
112;112;Po Castellana 167 C1;Interior M-30;Paseo;Castellana;167;441533,969999999972060;4479260,969999999739230;40,461962999999997;-3,689604000000000
113;113;Po Castellana 167 C2;Interior M-30;Paseo;Castellana;167;441533,969999999972060;4479260,969999999739230;40,461962999999997;-3,689604000000000
114;114;Po Castellana 105 C1;Interior M-30;Paseo;Castellana;105;441467,090000000025611;4478427,280000000260770;40,454447999999999;-3,690316000000000
115;115;Po Castellana 105 C2;Interior M-30;Paseo;Castellana;105;441467,090000000025611;4478427,280000000260770;40,454447999999999;-3,690316000000000
116;116;Po Recoletos 20 C1;Interior M-30;Paseo;Recoletos;20;441379,609999999986030;4474984,959999999962747;40,423431999999998;-3,691030000000000
117;117;Po Recoletos 20 C2;Interior M-30;Paseo;Recoletos;20;441379,609999999986030;4474984,959999999962747;40,423431999999998;-3,691030000000000
118;118;Po Recoletos 31;Interior M-30;Paseo;Recoletos;31;441369,469999999972060;4474989,589999999850988;40,423473000000001;-3,691150000000000
119;119;C Velazquez 70 C1;Interior M-30;Calle;Velazquez;70;441998,330000000016298;4475599,900000000372529;40,429015000000000;-3,683793000000000
120;120;C Velazquez 70 C2;Interior M-30;Calle;Velazquez;70;441998,330000000016298;4475599,900000000372529;40,429015000000000;-3,683793000000000
121;121;C Monforte de Lemos 85 C1;Interior M-30;Calle;Monforte de Lemos;85;440481,109999999986030;4481257,959999999962747;40,479877999999999;-3,702209000000000
122;122;C Monforte de Lemos 85 C2;Interior M-30;Calle;Monforte de Lemos;85;440481,109999999986030;4481257,959999999962747;40,479877999999999;-3,702209000000000
123;123;C Serrano 127 C1;Interior M-30;Calle;Serrano;127;441829,229999999981374;4477070,509999999776483;40,442250999999999;-3,685921000000000
124;124;C Serrano 127 C2;Interior M-30;Calle;Serrano;127;441829,229999999981374;4477070,509999999776483;40,442250999999999;-3,685921000000000
125;125;C Francisco Silvela 67 C1;Interior M-30;Calle;Francisco Silvela;67;442722,809999999997672;4476293,889999999664724;40,435316999999998;-3,675315000000000
